address,network,role,label,entity,cluster_id,risk_score,cases,in_inr,out_inr,tx_count,balance,token,first_seen,last_seen
0x8597567d00d23b78fbf0a25234df03060e145624,ETH,suspect,Reported suspect wallet,,CL-1049-A,88,RAAZ-26-1049,31225086,30762689,20,5233.66,USDC,2026-08-30T00:54:00+05:30,2026-09-09T00:31:00+05:30
0xf4a556fe8ad5b7c378b8b8b8dc7a0ddcd0cf07a3,BSC,suspect,Reported suspect wallet,,CL-1027-A,87,RAAZ-26-1027,735987,723898,12,136.75,USDT,2026-08-17T16:48:00+05:30,2026-08-21T08:48:00+05:30
TkhPqxWMZPFjE7YGk1JwJkCaY3QH4hWfc3,TRON,intermediary,Layering wallet,,CL-SYN-01,87,RAAZ-26-1048,57272,57272,2,0.0,USDT,2026-07-04T19:16:00+05:30,2026-07-04T19:30:00+05:30
THrDSTMWCtqQR9qC22cAXhoLqfSu46k8pJ,TRON,intermediary,Peel-off wallet,,,87,RAAZ-26-1048,2595,0,1,29.35,USDT,2026-07-04T19:40:00+05:30,2026-07-04T19:40:00+05:30
TU4ca2rAV4P6ARsuANsCS5a4gNC3nCQJSr,TRON,intermediary,Peel-chain change wallet,,CL-1048-B,87,RAAZ-26-1048,18813,18812,3,0.01,USDT,2026-07-04T19:40:00+05:30,2026-07-04T19:58:00+05:30
0x92679b5aca4188f873b7e0029226a6b40cb15669,BSC,suspect,Reported suspect wallet,,CL-1022-A,86,RAAZ-26-1022,827476,809851,10,0.2866,BNB,2026-09-06T01:34:00+05:30,2026-09-13T12:01:00+05:30
TRpw1g96YrV9KBzkNvScVc8kjp4MxJMywV,TRON,intermediary,Layer-1 distribution wallet,,CL-1048-A,86,RAAZ-26-1048,21407,21408,3,0.0,USDT,2026-07-04T19:15:00+05:30,2026-07-04T19:40:00+05:30
TfK3BKge5qJ9vkj6CzGNmkVG7f5s6XNJjj,TRON,intermediary,Layering wallet,,,85,RAAZ-26-1048,28780,28780,2,0.0,USDT,2026-07-04T19:36:00+05:30,2026-07-04T20:01:00+05:30
TpmmUx1369SfzpK4mj4AUBRzC9WxZWgnQf,TRON,intermediary,Peel-off wallet,,CL-SYN-01,85,RAAZ-26-1048,2468,2468,2,0.0,USDT,2026-07-04T19:58:00+05:30,2026-07-04T20:10:00+05:30
TaXJKCK9ovAdBPusifBMZffqGgWqouRt8m,TRON,consolidation,Consolidation wallet (Syndicate B),,CL-SYN-02,84,RAAZ-26-1003;RAAZ-26-1005;RAAZ-26-1011;RAAZ-26-1023;RAAZ-26-1039;RAAZ-26-1050;RAAZ-26-1054;RAAZ-26-1055,20869166,19899961,43,136.49,USDT,2026-06-09T03:08:00+05:30,2026-09-22T22:19:00+05:30
TogtMNdpKKuVoqHCE9bQSdq3oh1JKJPFsb,TRON,consolidation,Consolidation wallet,,CL-1044-C,84,RAAZ-26-1044,337036,313196,7,269.68,USDT,2026-09-18T13:00:00+05:30,2026-09-18T14:26:00+05:30
0xa6a6e5f17c3c64326617af3c778e254315f64297,ETH,intermediary,Layer-1 distribution wallet,,CL-1049-A,83,RAAZ-26-1049,8214244,8214244,2,0.0,USDC,2026-09-09T00:21:00+05:30,2026-09-09T00:49:00+05:30
0x97a8933c807b6fe5970a99e4bc2b4cb63853f6d3,ETH,intermediary,Layering wallet,,CL-1049-C,83,RAAZ-26-1049,2246877,2246877,2,0.0,USDC,2026-09-09T00:25:00+05:30,2026-09-09T00:30:00+05:30
0x47014f416668bfebe647a9f7286f1bcef392d127,BSC,intermediary,Peel-off wallet,,,82,RAAZ-26-1027,14937,0,1,168.97,USDT,2026-08-18T00:22:00+05:30,2026-08-18T00:22:00+05:30
0xbbbe32f12fbfed94a6399688c77531cb528ea046,BSC,intermediary,Pre-mix staging wallet,,,82,RAAZ-26-1035,10182518,10182518,2,0.0,BNB,2026-09-19T03:35:00+05:30,2026-09-19T03:52:00+05:30
Tic7zAwHMPXNDjrzYUvqDsyGRBjWwH1q2E,TRON,intermediary,Layer-1 distribution wallet,,CL-1048-A,82,RAAZ-26-1048,60377,60377,2,0.0,USDT,2026-07-04T19:02:00+05:30,2026-07-04T19:27:00+05:30
0xc9597fa004dce7156412d6b3a75c22d20b439cf5,BSC,intermediary,Layering wallet,,,81,RAAZ-26-1027,141471,141471,2,0.0,USDT,2026-08-18T05:53:00+05:30,2026-08-18T16:47:00+05:30
bc1ql5lt226na59sja572hkactydhhujs89hlhpuar,BTC,suspect,Reported suspect wallet,,CL-1031-A,81,RAAZ-26-1031,75713,74599,7,0.000118,BTC,2026-08-30T21:50:00+05:30,2026-09-01T07:41:00+05:30
0xa77f0589adb4b409869ae36aaeea524e62723cf2,ETH,intermediary,Layer-1 distribution wallet,,CL-1049-A,81,RAAZ-26-1049,2246877,2246877,2,0.0,USDC,2026-09-09T00:01:00+05:30,2026-09-09T00:25:00+05:30
0x7c4304bc1a1eaef303939ac6a6045e4cd2cd2ea2,BSC,intermediary,Peel-chain change wallet,,CL-1022-B,80,RAAZ-26-1022,186677,186677,2,0.0,BNB,2026-09-13T12:50:00+05:30,2026-09-13T13:02:00+05:30
0x7dd7dea00b28d4ac56484dd04d2ee087abfe989b,BSC,intermediary,Layering wallet,,,80,RAAZ-26-1027,101951,101951,2,0.0,USDT,2026-08-18T08:20:00+05:30,2026-08-18T09:40:00+05:30
0x5d97348e70c5b21d7cdb5e212a832e956f822c37,BSC,intermediary,Layer-1 distribution wallet,,CL-1027-A,80,RAAZ-26-1027,123001,123001,3,0.0,USDT,2026-08-17T19:32:00+05:30,2026-08-18T00:22:00+05:30
0x020f52eb5ff706ab53c7cb8b40427b3c315557a2,BSC,intermediary,Peel-off wallet,,,80,RAAZ-26-1027,5934,0,1,67.13,USDT,2026-08-18T20:23:00+05:30,2026-08-18T20:23:00+05:30
0x8da0d56cbdaee276ba4082c214295eec4d1b0ff4,BSC,intermediary,Peel-off wallet,,,80,RAAZ-26-1027,7174,0,1,81.15,USDT,2026-08-19T06:39:00+05:30,2026-08-19T06:39:00+05:30
0x30a855a13659f87d2c8fd7253fa53bbb086d15e1,BSC,intermediary,Mixer output (probabilistic link),,CL-SYN-03,80,RAAZ-26-1035,3936959,3936959,2,0.0,BNB,2026-09-19T22:10:00+05:30,2026-09-19T22:21:00+05:30
Tttj1tXmzM5ZY9X65PJnvvTnTo5AnneTRh,TRON,intermediary,Layering wallet,,,80,RAAZ-26-1048,34289,34289,2,0.0,USDT,2026-07-04T19:35:00+05:30,2026-07-04T19:37:00+05:30
0xa1e926505d785bbc6d7a4e6533f5adbd0b73557b,ETH,intermediary,Layering wallet,,CL-1049-C,80,RAAZ-26-1049,8214244,8214244,2,0.0,USDC,2026-09-09T00:49:00+05:30,2026-09-09T00:58:00+05:30
0x513b5f9d9fe99f5dc82a1fe996d8ce34896f7df7,POLYGON,intermediary,Post-bridge layering wallet,,CL-1049-C,80,RAAZ-26-1049,4978052,4978052,2,0.0,USDC,2026-09-09T00:52:00+05:30,2026-09-09T00:56:00+05:30
0x1b3c6e6d8aaaee489b571586ec8608f65d355767,BSC,intermediary,Peel-off wallet,,,79,RAAZ-26-1022,12195,0,1,0.1983,BNB,2026-09-13T12:34:00+05:30,2026-09-13T12:34:00+05:30
0x69d881b7daf5f6e3e3f5009a22bd4c129686798b,BSC,intermediary,Layering wallet,,CL-SYN-03,79,RAAZ-26-1027,113256,113256,2,0.0,USDT,2026-08-18T16:32:00+05:30,2026-08-18T22:52:00+05:30
0x7d32a168ff2cb0c78eff183741913da40e53ce28,BSC,intermediary,Peel-chain change wallet,,CL-1027-B,79,RAAZ-26-1027,108064,108062,3,0.01,USDT,2026-08-18T00:22:00+05:30,2026-08-18T05:34:00+05:30
TAgvgqYQze9swebfT3F23BF39cLM63kTmS,TRON,suspect,Reported suspect wallet,,CL-1044-A,79,RAAZ-26-1044,355171,353788,11,15.65,USDT,2026-09-11T16:21:00+05:30,2026-09-18T12:43:00+05:30
TG4ZiVigVCR73HG1ZvcWY88ydktdtYNweQ,TRON,intermediary,Peel-chain change wallet,,CL-1048-B,79,RAAZ-26-1048,13202,13202,2,0.0,USDT,2026-07-04T20:29:00+05:30,2026-07-04T20:56:00+05:30
ThkFfShMkicBQ5szHcjh3FaTT6Kc9ijugJ,TRON,suspect,Reported suspect wallet,,CL-1050-A,79,RAAZ-26-1050,254754,250403,14,49.23,USDT,2026-08-02T13:03:00+05:30,2026-08-12T07:10:00+05:30
TyyTgFRjPPqVqpGykUZcSxYp45cr7RwVJR,TRON,suspect,Reported suspect wallet,,CL-1005-A,78,RAAZ-26-1005,1445555,1403566,9,474.98,USDT,2026-08-17T16:10:00+05:30,2026-08-22T22:13:00+05:30
0x14d171163ada542e051d1286039eadaf1140b8fd,BSC,intermediary,Layer-1 distribution wallet,,CL-1022-A,78,RAAZ-26-1022,283103,283103,3,0.0,BNB,2026-09-13T11:49:00+05:30,2026-09-13T11:59:00+05:30
0x308a68f81ab480c476875947afcf6001786b809f,BSC,intermediary,Peel-chain change wallet,,CL-1027-B,78,RAAZ-26-1027,79213,79214,3,0.0,USDT,2026-08-19T01:41:00+05:30,2026-08-19T06:39:00+05:30
0xbb523cc2c428f8da9dce940b7603745f827c6fff,BSC,intermediary,Layering wallet,,CL-SYN-03,78,RAAZ-26-1035,11462960,11462960,2,0.0,BNB,2026-09-19T03:52:00+05:30,2026-09-19T04:07:00+05:30
TCVVsfkdap3ccGctX9saxhcm4tfFzsJLaV,TRON,intermediary,Peel-off wallet,,CL-SYN-01,78,RAAZ-26-1048,1487,1487,2,0.0,USDT,2026-07-04T20:03:00+05:30,2026-07-04T20:18:00+05:30
0x73d6338a8cf01613b733b0686063a287b5128db7,BSC,intermediary,Layering wallet,,CL-SYN-03,77,RAAZ-26-1022,354554,354554,2,0.0,BNB,2026-09-13T12:56:00+05:30,2026-09-13T13:17:00+05:30
0x13450d7e0b8a7946febfdd1c5dc42db9009b1f0e,BSC,intermediary,Mixer output (probabilistic link),,CL-SYN-03,77,RAAZ-26-1027,16693,16693,2,0.0,USDT,2026-08-20T17:39:00+05:30,2026-08-21T06:34:00+05:30
0x6ac8b6a7d17841c7d8345fbdad3b1d3b3593f8a7,BSC,intermediary,Mixer output (probabilistic link),,CL-SYN-03,77,RAAZ-26-1027,31934,31934,2,0.0,USDT,2026-08-20T22:11:00+05:30,2026-08-21T05:00:00+05:30
0x76f3fe7f8f2172278998fa9508336f1ae536ddae,BSC,intermediary,Layering wallet,,,77,RAAZ-26-1035,11462960,11462960,2,0.0,BNB,2026-09-19T03:26:00+05:30,2026-09-19T03:52:00+05:30
TYzGqfcGQGvgP7KKiy6PKTcX9qvzUVfKvN,TRON,intermediary,Layer-1 distribution wallet,,CL-1048-A,77,RAAZ-26-1048,57272,57272,2,0.0,USDT,2026-07-04T19:13:00+05:30,2026-07-04T19:16:00+05:30
0x9a71ff42f3e0f6b6bbce0fc67cfd219de7c9bcea,ETH,intermediary,Layer-1 distribution wallet,,CL-1049-A,77,RAAZ-26-1049,4988028,4988028,2,0.0,USDC,2026-09-09T00:05:00+05:30,2026-09-09T00:13:00+05:30
0xe1dabfee1e60694d5a1b6b94e4754e8743674a40,ETH,intermediary,Mixer output (probabilistic link),,CL-1049-C,77,RAAZ-26-1049,1092587,1092587,2,0.0,USDC,2026-09-09T20:52:00+05:30,2026-09-09T21:16:00+05:30
0x65884131914db9fc1d49adb24ce1c53539f9ce66,ETH,intermediary,Layering wallet,,,77,RAAZ-26-1049,8758940,8758940,2,0.0,USDC,2026-09-09T00:01:00+05:30,2026-09-09T00:28:00+05:30
0xb97d9f38e88170696d3a2cb2bde51983ef0720d9,POLYGON,exchange_deposit,NovaX Exchange: deposit address (attributed),NovaX Exchange,,77,RAAZ-26-1049,4937035,4937035,2,0.0,USDC,2026-09-09T01:20:00+05:30,2026-09-09T01:58:00+05:30
0x88bab6c3bab2faff225f4bb1a67c4644728af4e3,BSC,intermediary,Layer-1 distribution wallet,,CL-1027-A,76,RAAZ-26-1027,91452,91452,2,0.0,USDT,2026-08-17T20:11:00+05:30,2026-08-18T07:02:00+05:30
0x6fc42dbbcab4b29def9b3a60af7f9f3984ca6957,BSC,intermediary,Pre-mix staging wallet,,,76,RAAZ-26-1027,91452,91452,2,0.0,USDT,2026-08-18T20:18:00+05:30,2026-08-19T04:32:00+05:30
bc1qfl2mhhm42t25kgp5e9fdm4ljy6kzgh45w5gnut,BTC,intermediary,Peel-off wallet,,,76,RAAZ-26-1031,1295,0,1,0.000137,BTC,2026-09-01T07:55:00+05:30,2026-09-01T07:55:00+05:30
bc1qmgngr4cmtg7eyns9d4djuta4v2dxlvyvp4t3mp,BTC,intermediary,Layering wallet,,,76,RAAZ-26-1031,22548,22548,2,0.0,BTC,2026-09-01T07:47:00+05:30,2026-09-01T08:11:00+05:30
bc1q6nj2sullr02f6a4rakvrlf6huk8ts3fzqde447,BTC,intermediary,Mixer output (probabilistic link),,,76,RAAZ-26-1031,1635,0,1,0.000173,BTC,2026-09-02T02:32:00+05:30,2026-09-02T02:32:00+05:30
0x35e2fb71f06c0e69e24bdff492e95d7e26faaf9f,BSC,intermediary,Layer-1 distribution wallet,,CL-1035-A,76,RAAZ-26-1035,11462960,11462960,2,0.0,BNB,2026-09-19T03:00:00+05:30,2026-09-19T03:26:00+05:30
T184ySnvGYrZ2UYxwUCi4W1kJHM32LGjw6,TRON,intermediary,Peel-off wallet,,,76,RAAZ-26-1048,1656,0,1,18.73,USDT,2026-07-04T20:29:00+05:30,2026-07-04T20:29:00+05:30
Taqk6Y9EKR3DEMf5FaktX7BufdDXqjn3BF,TRON,exchange_deposit,Quasar Exchange: deposit address (attributed),Quasar Exchange,,76,RAAZ-26-1048,186090,186090,2,0.0,USDT,2026-07-04T20:59:00+05:30,2026-07-04T21:34:00+05:30
0xd08123b04864ad44a174f6ebcb1e2b62ea19ac3a,ETH,intermediary,Layering wallet,,,76,RAAZ-26-1049,8758940,8758940,2,0.0,USDC,2026-09-09T00:28:00+05:30,2026-09-09T00:56:00+05:30
0x1fc4568305352ba6283608d58f30414f377e3157,ETH,intermediary,Layering wallet,,CL-1049-C,76,RAAZ-26-1049,8758940,8758940,2,0.0,USDC,2026-09-09T00:56:00+05:30,2026-09-09T01:00:00+05:30
0x360b1ab5515e33964a256b9e08a6ecfaa989bd30,ETH,exchange_deposit,Pinecrest P2P: deposit address (attributed),Pinecrest P2P,,76,RAAZ-26-1049,13068423,13068423,2,0.0,USDC,2026-09-09T23:32:00+05:30,2026-09-10T00:21:00+05:30
0xe023050d382e0bc897197ed43b569eb62c802c5e,BSC,intermediary,Layering wallet,,,75,RAAZ-26-1027,113256,113256,2,0.0,USDT,2026-08-18T05:08:00+05:30,2026-08-18T16:32:00+05:30
0xb9ab4995d27738cee34c77a35474f45ac80a4244,BSC,intermediary,Peel-off wallet,,CL-SYN-03,75,RAAZ-26-1027,12190,12190,2,0.0,USDT,2026-08-19T01:41:00+05:30,2026-08-19T02:58:00+05:30
bc1qvtgefsm3ayu8hzkzc2y945knec7jsxtvhsc73d,BTC,intermediary,Peel-off wallet,,,75,RAAZ-26-1031,1531,0,1,0.000162,BTC,2026-09-01T08:21:00+05:30,2026-09-01T08:21:00+05:30
bc1q859wu04ay08wthpdjxlgy4smry64mlc49dsx6l,BTC,intermediary,Peel-chain change wallet,,CL-1031-B,75,RAAZ-26-1031,12200,12209,3,0.0,BTC,2026-09-01T08:21:00+05:30,2026-09-01T08:41:00+05:30
bc1qlupcqs36pu2a6cmva9pjr07g6xysefpppyvp55,BTC,intermediary,Layer-1 distribution wallet,,CL-1031-A,75,RAAZ-26-1031,8070,8070,2,0.0,BTC,2026-09-01T07:41:00+05:30,2026-09-01T07:45:00+05:30
TcjB6BeK4xiTL3bZFEt5osESc4a7VsQPBB,TRON,intermediary,Peel-chain change wallet,,CL-1048-B,75,RAAZ-26-1048,16344,16344,3,0.0,USDT,2026-07-04T19:58:00+05:30,2026-07-04T20:03:00+05:30
0x33db6e725342794cdf89cd5ed1266539fce87f47,ETH,intermediary,Layer-1 distribution wallet,,CL-1049-A,75,RAAZ-26-1049,8758940,8758940,2,0.0,USDC,2026-09-08T23:54:00+05:30,2026-09-09T00:01:00+05:30
T4CSQaX4csN6MfjCduKP8vUNLxV4piSL3s,TRON,consolidation,Consolidation wallet,,CL-1053-C,75,RAAZ-26-1053,25359389,25044654,6,3560.35,USDT,2026-08-22T06:47:00+05:30,2026-08-22T07:38:00+05:30
0x89686d90de06a6be63ca602cdab6765c4504c519,ETH,consolidation,Consolidation wallet (Syndicate D),,CL-SYN-04,74,RAAZ-26-1010;RAAZ-26-1012;RAAZ-26-1013;RAAZ-26-1014,19914386,18220520,29,18659.44,USDT,2026-07-25T23:00:00+05:30,2026-09-24T08:48:00+05:30
0x45b4e6ac94b85e4084428b0f57d2e2057b908945,BSC,exchange_deposit,Zentra Global: deposit address (attributed),Zentra Global,,74,RAAZ-26-1022,478365,478365,2,0.0,BNB,2026-09-13T13:45:00+05:30,2026-09-13T15:11:00+05:30
0x4a3c0dd65295ecfb34378d0241a93aa72ba6d9c2,BSC,intermediary,Layering wallet,,CL-SYN-03,74,RAAZ-26-1027,141471,141471,2,0.0,USDT,2026-08-18T16:47:00+05:30,2026-08-18T22:34:00+05:30
0xfa6c73e2275185a0cea1d5761c58c5c7eacbaac3,BSC,intermediary,Peel-off wallet,,,74,RAAZ-26-1027,5195,0,1,58.77,USDT,2026-08-18T11:37:00+05:30,2026-08-18T11:37:00+05:30
0xdc52ae51f7268995bb981f1b7b3dacabedca8f1d,BSC,intermediary,Peel-chain change wallet,,CL-1027-B,74,RAAZ-26-1027,97338,97338,3,0.0,USDT,2026-08-18T11:37:00+05:30,2026-08-18T20:23:00+05:30
bc1q0j7h22h5mq2kn9nw7t7e9fmakauycmggqdu0w4,BTC,intermediary,Layer-1 distribution wallet,,CL-1031-A,74,RAAZ-26-1031,22548,22548,2,0.0,BTC,2026-09-01T07:41:00+05:30,2026-09-01T07:47:00+05:30
TMWcSde47LNAf5kD96Cc57nVur3etJEuiK,TRON,intermediary,Layering wallet,,CL-1044-C,74,RAAZ-26-1044,123359,123359,2,0.0,USDT,2026-09-18T13:36:00+05:30,2026-09-18T14:01:00+05:30
TUoDaR6DsSeWBDJ8aCH8oRt6pbzfGKBu88,TRON,intermediary,Layering wallet,,CL-1044-C,74,RAAZ-26-1044,78561,78561,2,0.0,USDT,2026-09-18T13:09:00+05:30,2026-09-18T13:16:00+05:30
TDtVpqKFSsfsD9bNURkLdCzsbdoKzM4txs,TRON,intermediary,Layering wallet,,,74,RAAZ-26-1048,34289,34289,2,0.0,USDT,2026-07-04T19:28:00+05:30,2026-07-04T19:35:00+05:30
0x6843cd7d4922ceb89a1bf47a9c41f0878ffb1d3a,POLYGON,intermediary,Bridge output wallet on Polygon,,,74,RAAZ-26-1049,4978052,4978052,2,0.0,USDC,2026-09-09T00:28:00+05:30,2026-09-09T00:35:00+05:30
0x425ed080153a33f7e9bae25611c618f203087762,ETH,exchange_deposit,Meridian OTC Desk: deposit address (attributed),Meridian OTC Desk,,74,RAAZ-26-1049,10460141,10460141,2,0.0,USDC,2026-09-09T23:05:00+05:30,2026-09-09T23:50:00+05:30
Tc5tA4fwjr7MNDj8PN66pbi85cKJTJrYoW,TRON,intermediary,Peel-chain change wallet,,CL-1050-B,74,RAAZ-26-1050,32140,32139,3,0.01,USDT,2026-08-12T14:56:00+05:30,2026-08-12T23:58:00+05:30
TVcBUotyfjaoKqbstyWCCJ1UyAtXijoPcR,TRON,intermediary,Peel-chain change wallet,,CL-1050-B,74,RAAZ-26-1050,26482,26482,2,0.0,USDT,2026-08-13T13:24:00+05:30,2026-08-13T19:34:00+05:30
TBq31a1FV943pVV4XvGcsHbwhnGEPHX2Ys,TRON,intermediary,Layer-1 distribution wallet,,CL-1050-A,74,RAAZ-26-1050,68198,68198,2,0.0,USDT,2026-08-12T06:31:00+05:30,2026-08-12T15:29:00+05:30
TW3uAiAxQsD4GmrBq4VZ2x5W8ZUX87fCdQ,TRON,suspect,Reported suspect wallet,,CL-1007-A,73,RAAZ-26-1007,130733,128239,12,28.23,USDT,2026-08-26T01:42:00+05:30,2026-09-10T05:20:00+05:30
0xdb82c125147ab9141eef707bfe601e1a5e5cdc9b,BSC,intermediary,Layering wallet,,,73,RAAZ-26-1022,354554,354554,2,0.0,BNB,2026-09-13T12:28:00+05:30,2026-09-13T12:56:00+05:30
0xa974e259dfc112e2a57a0f02f3ad914599efded1,BSC,intermediary,Peel-chain change wallet,,CL-1022-B,73,RAAZ-26-1022,216437,216431,3,0.0001,BNB,2026-09-13T12:34:00+05:30,2026-09-13T12:50:00+05:30
0xd46b8c05ae021c0ad636d0693e3f43ec1e06595b,BSC,intermediary,Layering wallet,,CL-SYN-03,73,RAAZ-26-1027,152767,152767,2,0.0,USDT,2026-08-18T00:23:00+05:30,2026-08-18T03:01:00+05:30
bc1quuf0mz2x08n42dyrt4wjcx7mgmsekmmkkcdvy4,BTC,intermediary,Layering wallet,,,73,RAAZ-26-1031,28955,28955,2,0.0,BTC,2026-09-01T07:43:00+05:30,2026-09-01T07:52:00+05:30
0x44163956173252881594af66a0d956172f6f67e9,BSC,intermediary,Layer-1 distribution wallet,,CL-1035-A,73,RAAZ-26-1035,10182518,10182518,2,0.0,BNB,2026-09-19T03:19:00+05:30,2026-09-19T03:25:00+05:30
0x7521ac95114b15bfabbd300025f8e9d796168a7f,BSC,intermediary,Mixer output (probabilistic link),,CL-SYN-03,73,RAAZ-26-1035,5990998,5990998,2,0.0,BNB,2026-09-20T00:45:00+05:30,2026-09-20T00:58:00+05:30
Twjw2pcFiLwgysemzMkg6Ka2YoomgUG7ju,TRON,intermediary,Layer-1 distribution wallet,,CL-1044-A,73,RAAZ-26-1044,123359,123359,2,0.0,USDT,2026-09-18T12:43:00+05:30,2026-09-18T13:09:00+05:30
TkFYQtxcuEFZbgbGdXTq75XJWHZF5rVMXi,TRON,intermediary,Layer-1 distribution wallet,,CL-1048-A,73,RAAZ-26-1048,28780,28780,2,0.0,USDT,2026-07-04T19:19:00+05:30,2026-07-04T19:36:00+05:30
TzkW46BLF35nhcK8oinXFJ7uP4jpHougMy,TRON,intermediary,Layering wallet,,CL-SYN-01,73,RAAZ-26-1048,34289,34289,2,0.0,USDT,2026-07-04T19:37:00+05:30,2026-07-04T19:55:00+05:30
TsVWEZcQTHv1NvBSiT465FLLn84a2wG4ji,TRON,intermediary,Peel-chain change wallet,,CL-1048-B,73,RAAZ-26-1048,14857,14858,3,0.0,USDT,2026-07-04T20:03:00+05:30,2026-07-04T20:29:00+05:30
0xc4fe43c56aa50d2bfa6445d0713c32e546ffbff0,POLYGON,intermediary,Post-bridge layering wallet,,,73,RAAZ-26-1049,4978052,4978052,2,0.0,USDC,2026-09-09T00:35:00+05:30,2026-09-09T00:52:00+05:30
0x1d705112b6ebbeaacf6cd45a57a70086f68c1a2c,ETH,intermediary,Pre-mix staging wallet,,,73,RAAZ-26-1049,2327060,2327060,2,0.0,USDC,2026-09-09T00:58:00+05:30,2026-09-09T01:07:00+05:30
0x1d4bbaf75a92ee73fa628292e9a95a817da0c2d1,ETH,intermediary,Layering wallet,,CL-1049-C,73,RAAZ-26-1049,4227540,4227540,2,0.0,USDC,2026-09-09T01:10:00+05:30,2026-09-09T01:23:00+05:30
TqDi6hv7LX7Sqhsn4kvtg4gF4buzHyu9Sk,TRON,suspect,Reported suspect wallet,,CL-1054-A,73,RAAZ-26-1054,281811,274047,12,87.82,USDT,2026-09-15T09:37:00+05:30,2026-09-21T06:50:00+05:30
TJ5GD22Z16n18VP4TPXfSucoxu1v8pRvLq,TRON,consolidation,Consolidation wallet,,CL-1004-C,72,RAAZ-26-1004,42044471,42006053,6,434.58,USDT,2026-08-04T18:09:00+05:30,2026-08-04T19:46:00+05:30
TezAdzSGdhdJ3dP9MGDRCGiWv4SJVQS2L6,TRON,intermediary,Peel-off wallet,,CL-SYN-02,72,RAAZ-26-1005,45438,45438,2,0.0,USDT,2026-08-23T07:20:00+05:30,2026-08-23T18:13:00+05:30
0xab011ddc2a06b5e72153a104aec14446a9cf2082,BSC,intermediary,Layering wallet,,CL-SYN-03,72,RAAZ-26-1022,172194,172194,2,0.0,BNB,2026-09-13T12:07:00+05:30,2026-09-13T12:33:00+05:30
0xd309e0a093a412a0d445e822e051fe42160a818b,BSC,intermediary,Peel-chain change wallet,,CL-1022-B,72,RAAZ-26-1022,260981,260981,3,0.0,BNB,2026-09-13T11:59:00+05:30,2026-09-13T12:23:00+05:30
0x02fea6c49ff0e2c214ef4ef990971301e6bda812,BSC,intermediary,Peel-chain change wallet,,CL-1022-B,72,RAAZ-26-1022,228626,228632,3,0.0,BNB,2026-09-13T12:23:00+05:30,2026-09-13T12:34:00+05:30
